Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL,Nifty_PE
0.0082,20.38,20.38,21.0075,17.51,0,5.937,6.042,6.042,5.92,-0.013,73.01,73.15,73.265,72.969,-0.0038,40.6,41.31,41.47,40.38,-0.0143,6284.33,6323.72,4154.21,4027.6,34.71
0.0066,20.38,20.06,20.855,18.9775,0.016,6.015,6.025,6.03,6.012,2.00E-04,73.29,73.33,73.381,73.185,-5.00E-04,41.19,39.99,41.33,39.76,0.031,6586.24,5607.87,4992.59,4972.74,34.4
0.0138,20.06,19.635,20.3375,19.0675,0.0216,6.014,6.032,6.032,6.008,-0.002,73.33,73.55,73.613,73.254,-0.0014,39.95,39.83,40.35,39.28,-0.0177,6044.21,4950.4,2970.15,4099.64,34.12
0.0076,19.635,19.705,19.8925,18.36,-0.0036,6.026,6.026,6.036,6.01,0.0037,73.434,73.093,73.518,73.093,0.0044,40.67,39.35,40.86,39.1,0.037,6072.97,4971.21,3076.87,4011.71,33.9
0.0151,19.705,18.35,20.025,18.35,0.0738,6.004,6.018,6.018,5.989,0.0013,73.11,73.295,73.481,73.07,-0.0025,39.22,37,39.72,37,0.0586,5685.56,5448.85,2779.65,3251.21,33.43
0.0022,18.35,19.53,19.53,17.375,-0.0604,5.996,5.965,6.006,5.965,-0.0032,73.193,73.595,73.61,73.021,-0.005,38.72,39.9,40.47,37.61,-0.0373,4708.03,3075.78,3277.14,3017.68,33.18
-5.00E-04,19.53,19.775,20.215,17.675,-0.0124,6.015,6.057,6.057,6.011,-0.0036,73.56,73.817,73.865,73.522,-0.0026,40.22,39.16,40.37,38.68,0.0237,5725.27,6437.75,3010.51,2601.04,32.69
0.016,19.775,19.5725,20.1975,18.4275,0.0103,6.037,6.069,6.073,6.037,-0.0031,73.75,73.785,73.918,73.716,0,39.29,40.58,40.7,38.41,-0.0323,4346.69,5803.35,3244.85,2668.35,32.62
0.0226,19.5725,20.675,21.0975,19.35,-0.0533,6.056,6.068,6.079,6.042,0.003,73.75,73.685,73.862,73.526,0.0011,40.6,40.07,40.8,39.78,0.0087,4414.51,4441.49,3041.27,2498.93,32.63
-0.0293,20.675,23.51,23.51,18.6675,-0.1206,6.038,6.041,6.041,6.003,0.0077,73.67,73.735,73.788,73.566,-0.0031,40.25,40.15,40.64,39.71,-0.0015,4383.11,6463.32,4210.84,2140.21,32.12
-0.002,23.51,20.99,23.8175,20.925,0.1201,5.992,6.027,6.027,5.981,3.00E-04,73.9,73.835,74.055,73.765,0.0045,40.31,39.6,40.37,39.12,0.0095,6301.62,8187.31,7839.03,7650.39,30.97
-0.0086,20.99,21.41,22.4775,19.37,-0.0196,5.99,5.996,6.003,5.989,-0.0033,73.57,73.503,73.635,73.43,8.00E-04,39.93,39.76,40.75,39.26,0.0083,4190.07,8102.51,5186.24,3557.01,31.91
-0.0221,21.41,22.1875,23.275,15.755,-0.035,6.01,6.027,6.027,5.991,-0.001,73.51,73.575,73.645,73.385,-8.00E-04,39.6,39.63,40.02,39,0.0074,3805.95,5878.71,4963.84,4084.93,31.97
-0.001,22.1875,20.045,22.9925,18.2675,0.1069,6.016,6.027,6.027,6.005,3.00E-04,73.57,73.535,73.649,73.26,4.00E-04,39.31,40.98,41.27,38.66,-0.0438,5230.5,5770.31,4333.23,4851.18,32.25
