NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
5276.5,0.0846,55.53,-0.0483,96.38,-0.0444,8.24,-0.0112,1689.1,0.0513,17.3,-0.0659,68789.7,47981.89,23131.13,32283.33
5220.7,0.0056,55.66,-0.0005,88.03,0.0955,8.24,-0.0005,1613.4,0.046,16.01,0.0806,45533.62,37786.51,19133.72,23542.35
5283.9,-0.0095,55.49,0.0009,84.65,0.0365,8.43,-0.0161,1597.1,0.0044,19.08,-0.1609,47179.02,41276.07,19252.18,24522.85
4910.9,0.072,56.09,-0.0095,86.44,-0.0181,8.36,0.0004,1560,0.0262,25.25,-0.2444,40956.28,38161.6,19437.49,18334.74
5254.3,-0.0617,52.74,0.0642,104.89,-0.1749,8.7,-0.0339,1665,-0.0606,17.82,0.4169,46301.71,49057.97,20906.69,20199.47
5296.4,-0.009,51.48,0.035,103.27,0.018,8.51,0.0115,1670.4,-0.0035,22.86,-0.2038,37723.69,39387.05,19033.07,18250.06
5366.0,-0.0166,49.01,0.036,106.82,-0.0378,8.21,0.0455,1698.6,-0.0237,26.93,-0.169,63999.11,57472.38,21594.97,25085.7
5198.2,0.0358,49.5,-0.0081,98.38,0.0872,8.13,-0.0082,1738.2,-0.0161,22.66,0.1884,76648.78,53412.4,24653.67,36195.05
4640.2,0.1243,53.26,-0.0662,99.7,-0.0035,8.63,-0.0342,1568.9,0.1098,27.11,-0.1641,52903.37,43434.23,20327.33,27057.15
4970.9,-0.043,52.09,0.0171,100.51,-0.0152,8.74,-0.0204,1747,-0.103,26.55,0.0211,38711.73,41098.87,18900.48,17972.47
5278.6,-0.0928,48.59,0.0704,92.58,0.0769,8.96,-0.0159,1706.7,0.0124,20.73,0.1717,43094.11,49602.82,25235.59,19274.85
4874.4,0.0776,48.96,-0.0065,78.92,0.1766,8.51,0.0518,1627.8,0.0641,31.94,-0.2905,44233.02,42390.55,19216.41,21333.05
5109.8,-0.0115,45.74,0.0703,88.73,-0.1082,8.34,0.0148,1825.8,-0.1138,24.88,0.2838,50283.64,53372.51,21240.18,19493.09
5527.5,-0.0877,44.1,0.036,96.2,-0.072,8.43,-0.016,1623,0.123,19.77,0.2585,45395.78,56954.98,28430.65,20439.54
5705.8,-0.0293,44.65,-0.011,95.12,0.0029,8.36,0.0154,1502.2,0.0839,18.41,0.0739,50802.29,46520.79,25153.3,25123.23
5561.1,0.0157,45,-0.0081,102.68,-0.0709,8.36,-0.0101,1535.7,-0.0219,16.82,0.0945,53473.22,50810.46,21175.88,21275.54
5766.9,-0.0329,44.21,0.0184,113.89,-0.0986,8.15,0.0339,1572.9,-0.0129,19.58,-0.141,53777.46,57482.83,25090.68,20997.47
5835.0,-0.0144,44.48,-0.0063,106.62,0.0676,7.99,0.0188,1433.4,0.0814,22.18,-0.1172,49090.25,49085.85,19996.44,20554.71
5382.0,0.0938,45.26,-0.0163,96.97,0.1005,8.02,-0.0009,1415.3,0.021,24.4,-0.091,52192.02,44215.13,23972.23,24010.16
5537.3,-0.0314,45.9,-0.0118,92.2,0.0518,8.15,-0.0191,1333.1,0.0566,23.41,0.0423,57097.91,64311.3,27598.55,21567.65
6177.5,-0.1025,44.61,0.0246,91.31,0.0089,7.95,0.0297,1415.6,-0.0614,16.56,0.4136,57526.07,66429.67,29176.33,23939.19
5871.0,0.0464,45.88,-0.0236,83.66,0.0864,8.08,-0.019,1386.8,0.0261,20.71,-0.2004,52683.49,53405.68,24798.87,24163.88
6092.3,-0.0258,44.27,0.0332,81.45,0.0329,8.12,-0.0068,1360.3,0.0206,20.76,-0.0024,79726.26,74375.39,32674.49,30205.67
6030.3,-0.002,44.53,-0.0058,79.84,0.0183,7.9,0.0343,1309,0.0377,22.25,-0.067,77706.1,63318.04,28069,39881.9
5403.1,0.1162,47.03,-0.053,71.7,0.1119,7.94,-0.0106,1252.3,0.0477,18.47,0.2047,74920.16,52444.52,24046.54,35913.17
5369.6,0.0065,46.33,0.0142,78.95,-0.089,7.86,0.017,1181.8,0.0564,18.94,-0.0248,56120.24,48582.94,24770.34,29323.02
